,names,lr
0,NildaMoyanoSDE,Left
1,AnahiCostaOK,Left
2,BrenVargasMatyi,Left
3,WalbertoAllende,Left
4,Marcelacoli63,Right
5,MariluQuiroz8,Right
6,paolavessvess,Left
7,GustavoSantosOk,Right
8,pjgalimberti,Right
9,caliva_vero,Left
10,AliAparicioOK,Left
11,cisneros_tuc,Left
12,Gra_Landriscini,Left
13,ClaudiaTodos,Left
14,AscarateLidia,Right
15,JorgeVaraOk,Right
16,Naty_Zaracho,Left
17,MaJimenaLopezOk,Left
18,XimenaGarciaBl,Right
19,DeluMelina,Right
20,JimehLatorre,Right
21,DipEstelaH,Left
22,LilianaPaponet,Left
23,AgustinxDomingo,Right
24,AlejandraObeid,Right
25,_CarlosSelva,Right
26,GuilleCarnaghi,Left
27,BouhidBacha,Right
28,gustavohein_,Right
29,Fede_FagioliOK,Left
30,leilachaher,Left
31,Adriana_Ruarte,Right
32,SergioOPalazzo,Left
33,vanemassetani,Left
34,ATortorielloOk,Right
35,dipedufernandez,Left
36,RSanchezOK,Right
37,ljuez,Right
38,igon_santiago,Left
39,LuciMasin,Left
40,cbritezmisiones,Left
41,Dip_Gutierrez,Left
42,TaccettaMatias,Right
43,MoreauLeopoldo,Left
44,RossanaChahla,Left
45,VicaBorrego,Right
46,JMilei,Left
47,DrDanielGollan,Left
48,aguspropatoarg,Left
49,leonormartinezv,Right
50,caroyutrovic_,Left
51,drfernandezok,Left
52,marioaleito,Left
53,carlosponce668,Left
54,RominaDelPla,Left
55,brizuela_moral,Left
56,SergioGCasas,Left
57,gabrielamlena,Right
58,ramirofpatri,Left
59,SusanaLaciar,Left
60,MSoleCarrizo,Right
61,MoniMacha,Left
62,roxanareyessc,Right
63,Pablo_Torello,Right
64,martinrgill,Right
65,NanniMiguel,Right
66,PaulaPenacca,Left
67,AldoAdolfoLeiva,Left
68,gaby_besana,Left
69,mirabellarob,Left
70,WolffWaldo,Left
71,LaspinaL,Right
72,JoseLuisRamonOk,Right
73,IngridJetter,Right
74,gabiestevezok,Right
75,PameVerasay,Right
76,MaraBrawer,Left
77,JCAlderete_CCC,Left
78,TeradaAlicia,Right
79,vilcalejandro,Left
80,jmpedrini,Left
81,rogetandil,Left
82,FelipeAlvarezLR,Left
83,Ramir_Gutierrez,Left
84,Alfreschiavoni,Left
85,snsayago,Left
86,cornejovirginia,Right
87,MariaLujan_Rey,Right
88,mrmartinez55,Left
89,SilGinocchio,Left
90,ricardodaives,Left
91,gfchumpitaz,Right
92,BetoVivero,Right
93,SoherElSukaria,Right
94,germanafc,Right
95,MonicaFradeok,Right
96,HectorBaldassi,Right
97,LisandroNieri,Right
98,MartinArjol,Right
99,prensapasso,Left
100,FranSanchezNQN,Right
101,MarisaUcedaOk,Left
102,BuryaileRicardo,Right
103,alefinocchiaro,Right
104,eduardofvaldes,Left
105,franmmonti,Right
106,camicrescimbeni,Right
107,CaroGaillard,Left
108,bebasoria,Left
109,MarianaZuvic,Right
110,AnaClaraRomer,Right
111,pau_oliveto,Right
112,NicolasdelCano,Left
113,fedefrigerio,Right
114,jlespert,Left
115,PabloTonelli,Left
116,SebaSalvadorOk,Right
117,Leonardo_Grosso,Left
118,claudiojpoggi,Right
119,myriambregman,Left
120,Facundo_Moyano,Left
121,DiGiacomoLuis,Right
122,Colorizzotti,Right
123,gcipolini,Right
124,HugoYasky,Left
125,SantoroLeandro,Left
126,PereyraJulio,Left
