,0,1,2
0,argentina,FrenteDeTodos,3.55555555555556
1,argentina,juntoscambioar,7.16666666666667
2,argentina,Fte_Izquierda,1.44444444444444
3,argentina,LLibertadAvanza,
4,canada,liberal_party,5.0552
5,canada,CPC_HQ,8.6608
6,canada,BlocQuebecois,3.0215
7,canada,NDP,2.46
8,canada,CanadianGreens,1.9018
9,france,Renaissance,6.33333349227905
10,france,lesRepublicains,7.875
11,france,RNational_off,9.75
12,france,partisocialiste,3.0
13,france,FranceInsoumise,1.25
14,german,spdde,3.61904764175415
15,german,CDU,5.85714292526245
16,german,CSU,7.1904764175415
17,german,Die_Gruenen,3.2380952835083
18,german,fdp,6.42857122421265
19,german,AfD,9.2380952835083
20,german,dieLinke,1.42857146263123
21,german,FREIEWAEHLER_BV,
22,german,DiePARTEI,
23,german,Piratenpartei,2.14285707473755
24,german,VoltDeutschland,
25,german,zentrum1870,
26,german,buendnisc,
27,india,AamAadmiParty,
28,india,INCIndia,3.54105658884052
29,india,BSP4India,2.17232237539767
30,india,BJP4India,4.29062870699881
31,india,cpimspeak,2.11081560283688
32,india,nppmeghalaya,
33,india,arivalayam,3.77220630372493
34,india,AITCofficial,1.91197183098592
35,india,YSRCParty,5.15051903114187
36,india,ShivSenaUBT_,3.13254437869822
37,india,Jduonline,
38,india,bjd_odisha,
39,india,BRSparty,
40,india,NCPspeaks,
41,india,iumlofficial,
42,india,JKNC_,
43,india,samajwadiparty,3.42173913043478
44,india,JaiTDP,
45,india,aimim_national,
46,india,ApnaDalOfficial,
47,india,cpofindia,
48,india,Akali_Dal_,
49,india,ajsupartyjh,
50,india,AIADMKOfficial,
51,india,AIUDFOfficial,
52,india,JanataDal_S,
53,india,JmmJharkhand,
54,india,MNFParty,
55,india,NDPPofficial,
56,india,RLPINDIAorg,
57,india,SAD_Amritsar,
58,india,KrantiSikkim,
59,india,VCKofficial_,
60,india,agpofficial_,
61,india,ThePMKOfficial,
62,japan,SDPJapan,6.1556
63,japan,jimin_koho,8.0252
64,japan,CDP2017,6.1556
65,japan,komei_koho,5.6871
66,japan,osaka_ishin,
67,japan,jcp_cc,1.148
68,japan,reiwashinsen,
69,mexico,AccionNacional,1.97
70,mexico,PRI_Nacional,0.949
71,mexico,PRDMexico,-0.99
72,mexico,PT_EdoMex,-2.507
73,mexico,partidoverdemex,1.265
74,mexico,MovCiudadanoMX,-0.828
75,mexico,PartidoMorenaMx,-1.698
76,spain,PSOE,3.59999990463257
77,spain,ppopular,8.06666660308838
78,spain,vox_es,9.7142858505249
79,spain,PODEMOS,1.93333327770233
80,spain,CiudadanosCs,7.19999980926514
81,spain,MasPais_Es,2.73333334922791
82,spain,Equo,
83,spain,Esquerra_ERC,3.20000004768372
84,spain,JuntsXCat,
85,spain,eajpnv,6.0
86,spain,ehbildu,
87,spain,cupnacional,
88,spain,compromis,
89,spain,coalicion,6.7142858505249
90,spain,obloque,3.14285707473755
91,spain,navarra_suma,
92,spain,prcantabria,
93,spain,TeruelExiste_,
94,uk,AlbaParty,
95,uk,Conservatives,7.11764717102051
96,uk,UKLabour,1.94117641448975
97,uk,theSNP,3.5
98,uk,LibDems,4.23529434204102
99,uk,duponline,
100,uk,sinnfeinireland,
101,uk,Plaid_Cymru,3.09090900421143
102,uk,SDLPlive,
103,uk,TheGreenParty,2.0
104,uk,allianceparty,
105,us,TheDemocrats,4.73264063243901
106,us,HouseGOP,6.97428073413592
