,names,lr
0,RomeIsabelle,Right
1,CharlotteCaubel,Right
2,RolandLescure,Right
3,jnbarrot,Right
4,oliviagregoire,Right
5,MinColonna,Left
6,CGrandjean_,Right
7,PapNdiaye,Right
8,sretailleau,Right
9,FrcsBraun,Left
10,agnesfirmin,Left
11,JCCOMBE,Left
12,Renaissance,Right
13,lesRepublicains,Right
14,RNational_off,Right
15,partisocialiste,Left
16,FranceInsoumise,Left
17,AllizardPascal,Right
18,JCAnglars,Right
19,JeremyBacchi,Left
20,JPBansard,Right
21,brunobelin,Right
22,nbellurot,Right
23,GuyBenarroche,Left
24,MartineBerthet,Right
25,blanc_etienne,Right
26,jbblanc84,Right
27,FlorenceBlatrix,Left
28,F_Bonhomme,Right
29,FBonneauSenat,Right
30,bonnefoy_n,Left
31,MichelBonnus,Right
32,AlexndraBorchio,Right
33,DBouad,Left
34,BouchetGilbert,Right
35,YvesBouloux,Right
36,husseinbourgi,Left
37,valerieboyer13,Right
38,IsabelleBrique2,Left
39,Celine_Brulin,Left
40,fnb_officiel,Right
41,bernard_buis,Right
42,AlainCadec,Right
43,ACanayer,Right
44,Cardon_Remi,Left
45,MACarlotti,Left
46,scazebonne,Right
47,P_Chaize,Right
48,YanChantrel,Left
49,DanielChasseing,Left
50,Th_Cozic,Left
51,mathdarnaud,Right
52,demas_patricia,Right
53,DEVESA3,Right
54,tomdoss,Left
55,DrexlerSabine,Right
56,FrDumont83,Right
57,Jeromedurain,Left
58,NicoleDuranton,Right
59,Dominiq_Estrosi,Right
60,CorinneFeret,Left
61,C_Frassa,Right
62,GilleHerve,Left
63,SGoyChavent,Right
64,JeanPierreGrand,Right
65,PascaleGruny02,Right
66,nadegehavet,Right
67,loichervepublic,Right
68,alainhoupert,Right
69,imbertcorinne17,Right
70,micheline_jacqu,Right
71,ejeansannetas,Left
72,ElseJOSEPH,Right
73,GiseleJourda,Left
74,AJoyandet,Right
75,LahellecG,Left
76,flolassarade,Right
77,Domdelegge,Right
78,LeHouerouA,Left
79,slerudulier,Right
80,DidierMandelli,Right
81,moniquedemarco,Right
82,Didier_Marie76,Left
83,p_medevielle,Right
84,MerillouSerge,Left
85,bmicouleau,Right
86,FranckMontauge,Left
87,Mouiller_P,Right
88,noel_sylviane,Right
89,GaginPaoli,Right
90,GeorgesPatient,Right
91,f_patriat,Right
92,CyrilPellevat,Right
93,cperrin90,Right
94,AnnickPetrus,Right
95,MLPhineraHorth,Right
96,sebastienpla,Left
97,remypointereau,Right
98,PoncetRaymonde,Left
99,E_Poumirol,Left
100,ClaudeRaynal,Left
101,C_REDON_SARRAZY,Left
102,BrunoRetailleau,Right
103,MpRicher,Right
104,OlivierRietmann,Right
105,Sy_robert,Left
106,RohfritschTeva,Right
107,Senateur_Salmon,Left
108,SautarelS,Right
109,ElsaSchalck,Right
110,PSchillinger68,Right
111,Laurent_Somon,Right
112,stanzionelucien,Right
113,PhilippeTabarot,Right
114,mickaelvallet,Left
115,MVaraillas,Left
116,AnneVentalon,Left
117,pjverzelen,Right
118,cedricvial,Right
119,Melanie_Vogel_,Left
120,delphinebatho,Left
121,ericcoquerel,Left
122,sandrousseau,Left
123,BorisVallaud,Left
124,AbadieCaroline,Right
125,LoicKervran18,Right
126,FabriceBrun,Right
127,SandrineLeFeur,Right
128,IanBoucard,Right
129,RaphaelGerard17,Right
130,perrinegoulet,Right
131,bru_vincent,Right
132,didierlegac,Right
133,emmanuel_maquet,Right
134,Aurelientache,Left
135,FabienDiFilippo,Right
136,ViryStephane,Right
137,MaudPetit_AN94,Right
138,Boccaletti83,Right
139,FranceLorho,Right
140,BentzChristophe,Right
141,MatthiasTavel,Left
142,HeleneLaporteRN,Right
143,MichelGuiniot,Right
144,claudia_rouaux,Left
145,isasantiago_94,Left
146,PicAnna3,Left
147,vseitlinger,Right
148,maudgatel,Right
149,Clemence_Guette,Left
150,EFolest,Right
151,benjaminhaddad,Right
152,frdric_maillot,Left
153,jordan_guitton,Right
154,NicolasDragon,Right
155,MartinAlex06,Right
156,iordanoff,Left
157,LopezLiguori,Right
158,SegoleneAmiot,Left
159,AlexandreLoubet,Right
160,MikaeleSeo,Right
161,BenoitMournet,Right
162,HubertOttAlsace,Right
163,ManonMeunier_UP,Left
164,MichelHerbillon,Right
165,NicolasSansu,Left
166,LMarcangeli,Right
167,alexiscorbiere,Left
168,RaquelGarridoFr,Left
169,jeromenury,Right
170,JhRatenon,Left
171,CORDIERPierre08,Right
172,Jean_LucFUGIT,Right
173,eanthoine26,Right
174,CorinneVignon,Right
175,BertrandBouyx,Right
176,JeanMarieFIEVET,Right
177,G_GouffierCha,Right
178,M_MeynierM,Right
179,isabelle_rauch,Right
180,HubertWulfranc,Left
181,CLAPOTMireille,Right
182,MaximeMinot,Right
183,ludovicMDS,Right
184,GillesLeGendre,Right
185,lecocqcharlotte,Right
186,STaillePolian,Left
187,phlottiaux,Right
188,NMeizonnet,Right
189,HdeLepinau,Right
190,JphTanguy,Right
191,franckallisio,Right
192,ElisaMartinGre,Left
193,Meurin_P,Right
194,nthierry,Right
195,BarthesChristop,Right
196,JLechanteux,Right
197,LRDehault,Right
198,SDelautrette,Left
199,romaindaubie,Right
200,Nicolas_Pacquot,Left
201,PierreCazeneuve,Right
202,ChantalJourdan,Left
203,AnneLaureBlin,Right
204,BallardPhilippe,Right
205,alma_dufour,Left
206,LeoWalter04,Left
207,Anne_Stambach,Left
208,GrangierGe,Right
209,HadrienClouet,Left
210,BrosseAnthony,Right
211,louisemorel11,Right
212,Portes_Thomas,Left
213,LisaBelluco,Left
214,MathieuMlefevre,Right
215,B_Marchive,Right
216,LVichnievsky,Right
217,AndreChassaigne,Left
218,JoelGiraud05,Right
219,JLBourlanges,Right
220,ericalauzet,Right
221,WilliamMartinet,Left
222,JulienDive,Right
223,VincentLedoux59,Right
224,Benjam1Lucas,Left
225,ClairePitollat,Right
226,SabineThillaye,Right
227,brigitte_liso,Right
228,phbolo,Right
229,PA_Anglade,Right
230,thibault_bazin,Right
231,dbrulebois,Right
232,HenrietPierre,Right
233,FJolivet36,Right
234,LachaudB,Left
235,MichelePeyron,Right
236,SophieMette1,Right
237,fabien_laine,Right
238,AstridPanosyan,Right
239,ChudeauR,Right
240,xavieralbertini,Right
241,CSitzenstuhl,Right
242,LamiraultLuc,Right
243,K_BenCheikh,Left
244,plecamp,Right
245,priscathevenot,Right
246,SabrinaRoubache,Right
247,MariePochon,Left
248,LaureLavalette,Right
249,MarchioMatthieu,Right
250,Sandrine_Dogor,Right
251,Cyrielle_Chtl,Left
252,CroizierLaurent,Right
253,JustineGruet,Right
254,FMPasquini,Left
255,CharlotteLeducV,Left
256,ASabatou,Right
257,l_margueritte,Right
258,leboucher_elise,Left
259,ErsiliaSoudais,Left
260,ericwoerth,Right
261,ConstanceLeGrip,Right
262,sebchenu,Right
263,AlexVincendet,Right
264,LMaillart,Right
265,laqhila,Right
266,EricPAUGET1,Right
267,damienadam76,Right
268,stephanie_rist,Right
269,GrazieMelchior,Right
270,BrunoMillienne,Right
271,josypoueyto,Right
272,KhattabiF,Right
273,lise_magnier,Right
274,NaimaMoutchou,Right
275,BeatricePiron,Right
276,AQuatennens,Left
277,l_saintpaul,Right
278,NicoleLePeih,Right
279,guillaumekasba,Right
280,fredvalletoux,Right
281,JPIerre_Taite,Right
282,diaz_edwige,Right
283,ChristellePetex,Right
284,MickaelBouloux,Left
285,JeanClaudeRaux,Left
286,LauAlexandre12,Left
287,MaudBregeon,Right
288,BlairyEmmanuel,Right
289,NathalieOziol,Left
290,thierry_frappe,Right
291,JohnnyHajjarMQ,Left
292,JorysB3,Right
293,J_Rancoule,Right
294,muller49_muller,Right
295,speytavie,Left
296,LisettePollet,Right
297,p_brun,Right
298,ChristopheBex,Left
299,Sylv20CARRIERE,Left
300,asfrigout,Left
301,Didier_Lemaire_,Right
302,sarah_tanzilli,Right
303,MaximeLaisneyFi,Left
304,YaelMenache,Right
305,marine_hamelet,Right
306,BeaBellamy85,Right
307,Alexis_IZARD,Right
308,S_Bourouaha,Left
309,Cl_Chassaniol,Right
310,MDesjonq,Right
311,philippejuvin,Left
312,cpiresbeaune,Left
313,AVilliers2017,Right
314,Clem_Autain,Left
315,PotierDominique,Left
316,SylvainMaillard,Right
317,pdharreville,Left
318,jmzulesi,Right
319,MarieLebec78,Right
320,pascaleboyer05,Right
321,fmeunier19,Right
322,AGenetet,Right
323,dep_cubertafon,Right
324,elodiejala,Right
325,YaelBRAUNPIVET,Right
326,CIsaacSibille,Right
327,isavalentin43,Right
328,npouzyreff78,Right
329,sandrinejossoan,Right
330,alexIholroyd,Right
331,Amelia_LKF,Right
332,VincentThiebaut,Right
333,b_belhaddad,Right
334,christoblanchet,Right
335,FCBDeputeduCher,Right
336,_DidierParis,Right
337,dmartindijon,Right
338,tgassilloud,Right
339,Moetai1,Right
340,stephane1peu,Left
341,NicoleDubre17,Right
342,trudigoz,Right
343,BertrandSorre,Right
344,BenjaminDirx,Right
345,lauzzanamichel,Right
346,SPanonacle,Right
347,JulienOdoul,Right
348,P_Lemoine,Right
349,YoannGillet30,Right
350,yannickneuder,Right
351,sblanc66000,Right
352,LaurenceCristol,Right
353,MickaelCosson22,Right
354,DuboisFrancis19,Right
355,KarineLebon,Left
356,KekeRachel,Left
357,midy_paul,Right
358,hendrik_davi,Left
359,bkk01,Left
360,FalconFrederic,Right
361,JPatrierLeitus,Right
362,UPGuingamp,Left
363,PascaleMartin24,Left
364,LegavreJerome,Left
365,GalzyStephanie,Right
366,Thomas_Mng,Right
367,pierrickbrtlo,Right
368,juliedelpech72,Right
369,KarenErodi,Left
370,BeneAuzanot,Right
371,Ph_Schreck,Right
372,LHeydelGrillere,Right
373,bretonxavier,Right
374,MTabarot,Right
375,AnnieGenevard,Right
376,BrunoBilde,Right
377,simonnet2,Left
378,auroreberge,Right
379,mbompard,Left
380,RRebeyrotte,Right
381,fabiennecolboc,Right
382,AnneBrugnera,Right
383,Vidal7602,Right
384,BonnivardE,Right
385,StephaneBuchou,Right
386,celinecalvez,Right
387,MathildePanot,Left
388,g_vuilletet,Right
389,JCLarsonneur,Right
390,erwanbalanant,Right
391,LeVigoureuxF,Right
392,MARSAUDSandra,Right
393,jp_mattei,Right
394,_richardramos,Right
395,robinreda,Right
396,V_Riotton,Right
397,RixainMP,Right
398,bruno_fuchs,Right
399,MounirBelhamiti,Right
400,angelique_ranc,Right
401,alexisjollyrn,Right
402,ALeaument,Left
403,gdefournas,Right
404,PhilippeFait22,Right
405,abomangoli,Left
406,AnneCecileVio,Right
407,sandraregol,Left
408,FrankGiletti,Right
409,DavyRimane,Left
410,WilliamJiovanny,Left
411,MassonBryan,Right
412,gisele_lelouis,Right
413,BaubryR,Right
414,MichleMartinez3,Right
415,ArthurDelaporte,Left
416,CColombier_RN,Right
417,cplassard,Right
418,JocelynDessigny,Right
419,ChArrighi,Left
420,Persovalgayar,Left
421,antoinevermorel,Right
422,AnnickCousin_RN,Right
423,SabrinaSebaihi,Left
424,ALehenanff,Right
425,EmmanFernandes,Left
426,MC_Garin,Left
427,A_Saintoul,Left
428,KelouaF,Left
429,CaroitEleonore,Right
430,guichard_claire,Right
431,PilatoRene,Left
432,mapoussier,Right
433,JoelleMelinRN,Right
434,JAviragnet,Left
435,ljacobelli,Right
436,FerracciMarc,Right
437,ebothorel,Right
438,OlgaGivernet,Right
439,al_petel,Right
440,LabaronneDaniel,Right
441,RSCactu,Right
442,BBrocard,Right
443,BenedictTaurine,Left
444,Bannier_G,Right
445,XavierBatut,Right
446,ElsaFaucillon,Left
447,CarolineFiat54,Left
448,GirardinEric,Right
449,platombe,Right
450,J_Corneloup,Right
451,jrcazeneuve,Right
452,christophe_p,Right
453,AlainDavid_AN,Left
454,PierreVatinOff,Right
455,EPoulliat,Right
456,Amiel_David_,Right
457,david_valence,Right
458,K_Pfeffer,Right
459,T_Houssin,Right
460,C_Dintorni,Right
461,antoine_armand,Right
462,MathildePARIS45,Right
463,ChrisBapt,Left
464,jeanmarctellier,Left
465,NathalieSerre,Right
466,GeismarLuc,Right
467,LeseulG,Left
468,FraPiquemal,Left
469,steve_parakao,Left
470,damienmaudt,Left
471,MarianneMaximi,Left
472,DelphLingemann,Right
473,TaverneMichael,Right
474,YannickMonnet3,Left
475,NicolasRay03,Right
476,A_Masson06,Right
477,Mel_Thomin,Left
478,qbataillon,Right
479,Inakiechaniz,Left
480,FerrerSylvie11,Left
481,boumertitidir,Left
482,FZ_Cestas,Right
483,AnneBergantz,Right
484,T_Cazenave,Right
485,VBazinMalgras,Right
486,fpetitAN,Right
487,J_M_Jacques,Right
488,Ugobernalicis,Left
489,CarolineJanvier,Right
490,DeputeCausse,Right
491,fdescrozaille,Right
492,jean_ardouin,Right
493,YHaury44,Right
494,AurelienPradie,Right
495,denis_Masseglia,Right
496,Cecile_Rilhac,Right
497,Fabien_Roussel,Left
498,JeanTerlier,Right
499,jfportarrieu,Right
500,XavierRoseren,Right
501,phdumont,Right
502,stelladupont,Right
503,NicolasMetzdorf,Right
504,MLP_officiel,Right
505,pasclavergne,Right
506,HadrienGhomi,Right
507,EmericSalmon,Right
508,Lionel_Tivoli,Right
509,cfourniereelv,Right
510,LionelVuibert,Right
511,EMericmartineau,Right
512,AvecMichelSala,Left
513,StephaneVojetta,Right
514,arenasrodrigo_,Left
515,FlorenceGoulet4,Right
516,EmmanuelPeller1,Right
517,BordesAvocat,Right
518,SebRome,Left
519,sebastiendelogu,Left
520,BilongoCarlos,Left
521,BabaultAlaure17,Right
522,bordatbenoit,Right
523,EmilieChandler,Right
524,MauvieuxKevin,Right
525,laernoes,Left
526,Lysiane_Metayer,Right
527,GuiraudInd,Left
528,Christinedecod1,Right
529,FelicieGerard,Right
530,VictorCatteau,Right
531,villedieu_a,Right
532,DanielGrenon89,Right
533,PaulVannierFI,Left
534,ServaneHugues,Right
535,Fanta_B,Right
536,CarolineYADAN,Right
537,Meyer_Habib,Right
538,hub_laferriere,Left
539,guillaumegarot,Left
540,OlivierFalorni,Right
541,J_PVigier,Right
542,julienbayou,Left
543,BattistelMarie,Right
544,MoniqueIborra,Right
545,N_Forissier,Right
546,PBertaGard,Right
547,SophieErrante,Right
548,StTRAVERT,Right
549,VRolland73,Right
550,DubyMuller,Right
551,damienabad,Right
552,CaronAymericoff,Left
553,DinoCinieri,Right
554,ECiotti,Right
555,Francois_Ruffin,Left
556,gabrielamard,Left
557,JeromeGuedj,Left
558,marclefur,Right
559,faureolivier,Left
560,hsaulignac,Left
561,JJ_Gaultier,Right
562,VigierPhilippe,Right
563,S_Mazars,Right
564,sebastienjumel,Left
565,JeanPierrePont,Right
566,JimmyPahun,Right
567,PatrickVignal,Right
568,phgosselin,Right
569,florent_boudie,Right
570,TrouveAurelie,Left
571,ceciluntermaier,Left
572,patrickhetzel,Right
573,DunoyerPhilippe,Right
574,yfavennec,Right
575,PNaillet,Left
576,karamanli72,Left
577,KARLOLIVE,Right
578,Kamardine_M,Right
579,mguevenoux,Right
580,oliviermarleix,Right
581,Valerie_Rabault,Left
582,VincentDescoeur,Right
583,VeroLouwagie,Right
