,names,lr
0,DrRothfuss,Right
1,ChristinaStumpp,Right
2,KreiserMdB,Left
3,ReneBochmannMdB,Right
4,GerschauKnut,Right
5,f_boginski,Right
6,GlaserMdb,Right
7,Knut_Abraham,Right
8,SchaetzlJo,Left
9,andreaslarem,Left
10,CRaffelhueschen,Right
11,HueppeMdB,Right
12,GerritHuy,Right
13,BartzAlexander,Left
14,HERavensburg,Left
15,anja_troff,Left
16,FBsirske,Left
17,HenningOtteMdB,Right
18,TakisMehmetAli,Left
19,goerke_c,Left
20,laura_kraft_,Left
21,TinaWinklmann,Left
22,AnjaReinalter,Left
23,JoachimWundrak,Left
24,ElisabethWinke4,Right
25,ZandaMartens,Left
26,ingoschaeferspd,Left
27,avjurisch,Right
28,BHerrmann_,Left
29,ArianeFaescher,Left
30,CarstenKoerber,Right
31,SimonaMdB,Right
32,emilyvontz1,Left
33,MarkusReichelDD,Right
34,joergnurnberger,Left
35,HierlSusanne,Right
36,JensPeick,Left
37,katrinuhligbn,Left
38,HenningRehbaum,Right
39,BreherSilvia,Right
40,EnglhardtKopf,Right
41,NHeselhaus,Left
42,BernhardDaldrup,Left
43,Hannes_Gnauck,Right
44,cjcronenberg,Right
45,MdbMuller,Right
46,JanUlrichDieren,Left
47,BengtBergt,Left
48,NAltenkamp,Right
49,ArmandZorn,Left
50,AloisRainer,Right
51,m_schieder,Left
52,VMayer_Lay,Right
53,schahinag,Left
54,AnkeHennigSPD,Left
55,RainerSemet,Right
56,arlt_johannes,Left
57,jessi_rosenthal,Left
58,DeborahDuering,Left
59,zoe_gruene,Left
60,HarzerUlrike,Left
61,SLahrkamp,Left
62,S_Gruetzmacher,Left
63,ReemAlabali,Left
64,CarlosKasperMdB,Left
65,ArminSchwarz,Right
66,BettinaLugk,Left
67,VriesChristoph,Right
68,Hoffmann_MdB,Right
69,thorsten_frei,Right
70,MdBMonstadt,Right
71,AnnaLuehrmann,Left
72,Kthrn_Mchl_SPD,Left
73,derya_tn,Left
74,kassem_ts,Left
75,GuntherKrichba3,Right
76,gadechens,Right
77,StegemannAlbert,Right
78,gitta_connemann,Right
79,ruetzelbernd,Left
80,TR_Bremen,Right
81,FechnerJohannes,Left
82,Mike_Moncsek,Right
83,SusanneFerschl,Left
84,DirkUlrichMende,Left
85,HanSteinmueller,Left
86,SwantjeMichael1,Left
87,CarmenWegge,Left
88,HoffmannForest,Right
89,HalakMuhanad,Right
90,AntjeTillmann,Right
91,BerndWestphal4,Left
92,ClaudiaMollMdB,Left
93,AnneSpallek,Left
94,nicole_ae_bauer,Right
95,_FriedrichMerz,Right
96,_ThomasRachel,Right
97,moritz_oppelt,Right
98,wiebkeesdar1,Left
99,n_roettgen,Right
100,MareikeWulf,Right
101,AwetTesfaiesus,Left
102,JanPlobner,Left
103,jessica_tatti,Left
104,DaniLudwigMdB,Right
105,MarjaVoellers,Left
106,mseesternpauly,Right
107,WolfgangWiehle,Right
108,RenataAlt_MdB,Right
109,HerbrandMarkus,Right
110,Chr_Sauter,Right
111,MdBKlein,Right
112,ali_aldailami,Left
113,NicoleWestig,Right
114,ulrichlechte,Right
115,ManuelaRottman,Left
116,theliberalfrank,Right
117,bhoffmann_mdb,Left
118,GeroHocker,Right
119,JoernKoenigAfD,Right
120,J_Pahlke,Left
121,DjirSarai,Right
122,KatjaKeul,Left
123,emiliafester,Left
124,DrChristinaBaum,Right
125,KirstenKappert,Left
126,TillMansmann,Right
127,Erhard_Grundl,Left
128,SilberhornMdB,Right
129,JudithSkudelny,Right
130,Mi_Muentefering,Left
131,Jacobi_Fabian,Right
132,funke_fabian,Left
133,KatjaMast,Left
134,karo_otte,Left
135,alexmuellerfdp,Right
136,MBiadaczMdB,Right
137,busen_mdb,Right
138,G_UllrichFDP,Right
139,Amira_M_Ali,Left
140,Schmidt_MdB,Left
141,reuther_bernd,Right
142,axel_knoerig,Right
143,christophploss,Right
144,reinholdmdb,Right
145,HilseMdb,Right
146,ChrWirthMdB,Right
147,Martin_Sichert,Right
148,JuergenBraunAfD,Right
149,Th_Seitz_AfD,Right
150,olafinderbeek,Right
151,SteffenKotre,Right
152,andreasbleckmdb,Right
153,spellerberg_m,Left
154,Brehm_inNBGNord,Right
155,koehler_fdp,Right
156,m_breilmann,Right
157,Bubendorferfdp,Right
158,DrMEspendiller,Right
159,FHoppermann,Right
160,kristine_lutke,Right
161,carina_konrad,Right
162,Martin_Hess_MdB,Right
163,UliGroetsch,Left
164,NKleinwaechter,Right
165,S_Muenzenmaier,Right
166,KlausWiener,Right
167,Meyer_FDP,Right
168,Bruno_Hoenel,Left
169,sandra_weeser,Right
170,JBrandenburgFDP,Right
171,GottfriedCurio,Right
172,KayUweZiegler71,Right
173,NinaScheer_SPD,Left
174,h_weyel,Right
175,yooHannes,Left
176,RitaHaglKehl,Left
177,Alice_Weidel,Right
178,AtesGuerpinar,Left
179,Rene_Springer,Right
180,alexander_throm,Right
181,VoepelDirk,Left
182,christian_leye,Left
183,_anja_schulz,Right
184,HoubenReinhard,Right
185,katrin_staffler,Right
186,chantal_kopf,Left
187,StephPilsinger,Right
188,philipphartewig,Right
189,M_HarderKuehnel,Right
190,DirkWieseSPD,Left
191,DrJoeWeingarten,Left
192,PetrBystronAfD,Left
193,DirkSpaniel,Right
194,mischrodi,Left
195,MarcBernhardAfD,Right
196,Dr_Rainer_Kraft,Right
197,BraFDP,Right
198,mueller_sepp,Right
199,jensteutrine,Right
200,AkbulutGokay,Left
201,detzer_sandra,Left
202,denise_loop,Left
203,Tino_Chrupalla,Right
204,GruebelMdb,Right
205,linda_lobster,Left
206,StefanKeuterAfD,Right
207,edgar_naujok,Right
208,HellmichMdB,Left
209,MDiedenhofen,Left
210,MuellerChemnitz,Left
211,EnricoKomning,Right
212,FGuentzler,Right
213,Gerold_Otten,Right
214,LeniBreymaier,Left
215,PhiKraemer,Left
216,f_mascheck,Left
217,StSeiter,Right
218,c_jung77,Right
219,Leif_Erik_Holm,Right
220,josip_juratovic,Left
221,SabinePoschmann,Left
222,FabianGramling,Right
223,FKerstenMdB,Right
224,Marcus_Buehl,Right
225,Ottilie_Klein,Right
226,MdB_Ulrike_Bahr,Left
227,YeOne_Rhie,Left
228,Schneider_AfD,Right
229,borismijatovic,Left
230,Jochen_Haug,Right
231,C_AB_,Left
232,StBrandner,Right
233,HumpferMarkus,Left
234,SilkeLaunert,Right
235,MdB_Lucassen,Right
236,StefingerMdB,Right
237,LukasBenner_,Left
238,RyglewskiS,Left
239,RogerBeckamp,Right
240,MichaelFrieser,Right
241,Witt_Uwe,Right
242,AnneKoenig_,Right
243,helmut_kleebank,Left
