,names,lr
0,PSOE,Left
1,ppopular,Right
2,vox_es,Right
3,PODEMOS,Left
4,CiudadanosCs,Right
5,MasPais_Es,Left
6,Equo,Left
7,Esquerra_ERC,Left
8,JuntsXCat,Left
9,eajpnv,Right
10,ehbildu,Left
11,cupnacional,Left
12,compromis,Left
13,coalicion,Right
14,obloque,Left
15,navarra_suma,Left
16,prcantabria,Left
17,TeruelExiste_,Left
18,pilar_llop,Left
19,LuisPlanas,Left
20,Yolanda_Diaz_,Left
21,GarciaAdanero,Right
22,MackMontesinos,Right
23,CrisEstebanVox,Right
24,erodriguez_2019,Right
25,MariaRamallov,Right
26,pcalvoliste,Left
27,olgaalonso62,Left
28,LlanosdeLuna,Left
29,edelvallerod,Left
30,MaraLuisaVilch1,Left
31,georgina_vox,Left
32,EvaBravoBarco,Left
33,AgustinRosety,Right
34,joseramirezdel2,Right
35,CuatrecasasJuan,Left
36,JIEchaniz,Left
37,Macarena_Olona,Left
38,Ismael_CortesG,Left
39,JoseMariaMazon,Left
40,LourdesMendezMo,Left
41,PalomaGazquez,Left
42,teresajbecerril,Left
43,javierbasco,Left
44,BalEdmundo,Right
45,JosLuisRamosRo2,Left
46,vicentetiradopp,Right
47,PatriciadlHeras,Right
48,MCMartinez_Cs,Right
49,A_LopezMaraver,Right
50,Marina_Ortega_,Left
51,MarotoReyes,Right
52,JavierCerqueir4,Right
53,carmencalvo_,Right
54,LuisGestoso,Right
55,luisacarcedo,Right
56,alfonsocendon,Left
57,jlsteeg_doc,Left
58,MarisaSaavedraM,Left
59,conJoseMFranco,Left
60,inibaran,Left
61,GuillermoLugosi,Left
62,Hector_Illueca_,Left
63,Graciacanales3,Left
64,SalazarRoPaco,Left
65,MarioGarcesSan,Right
66,vicpiriz1975,Right
67,borrego_corte,Right
68,TFernandezRios,Right
69,PabloAranguena,Left
70,CelsoDelgadoOU,Right
71,TxemaGuijarro,Left
72,meritxell_batet,Left
73,vejer_ortiz,Left
74,J_Zaragoza_,Left
75,sancho_herminio,Left
76,afernb,Left
77,CarolinaEspanaR,Right
78,ElenaCastilloPP,Right
79,Jccampm,Left
80,MeerRocio,Right
81,DioufLuc,Left
82,AnaBotellaPSOE,Left
83,CnLacoba,Right
84,apabellas,Left
85,SofCastanon,Left
86,MartaGlezVzqz,Left
87,Migonzalezcaba,Left
88,Alber_Canarias,Left
89,PilarGarrido_,Left
90,RuizSolas,Left
91,rafi_crespin,Left
92,VickyRosell,Left
93,MartinaVelardeG,Left
94,AriagonaGP,Left
95,juan_pedreno,Left
96,imoblanca,Left
97,HispanPablo,Left
98,mdelaoredondo,Left
99,tamarayar,Left
100,rromerovilches,Left
101,eledhmel,Right
102,G_Pisarello,Left
103,RoberUriarte,Left
104,albertbotran,Left
105,margpuig,Left
106,PabloCamPiq,Right
107,evapatriciab,Right
108,_patricia_rueda,Right
109,ZaidaCantera,Left
110,luciadalda,Left
111,InesCanizares,Left
112,JsPostigo,Left
113,czambranogr,Left
114,MoroMjesus,Right
115,_mireiaborras,Right
116,abeltran_ana,Right
117,TeresaGdVinuesa,Right
118,caroltelechea,Right
119,Caballerohelena,Left
120,CelaaIsabel,Left
121,juanluissotoadd,Left
122,asanchog,Left
123,MayoralRafa,Left
124,AntidioF,Left
125,SebastianLede15,Left
126,pmklose,Left
127,Ortega_Smith,Left
128,BassaMontse,Left
129,PiliCancela,Left
130,otazu35,Left
131,MorisSiero,Left
132,belitagl,Left
133,montseminguez,Left
134,Montsechavar,Left
135,RafaLomana,Right
136,TristanaMg,Right
137,solcruzguzman,Right
138,BeaMCarrillo,Right
139,SarriMorell,Left
140,msolsj,Left
141,RuizdePinedo,Right
142,PabloSaezAM,Right
143,MertxeAizpurua,Right
144,InesArrimadas,Right
145,GenisBoadella,Left
146,OscarClavell,Left
147,pedrosaurag,Left
148,JDRequenaRuiz,Left
149,pablocasado_,Right
150,SSumelzo,Left
151,AnaZurita7,Left
152,tcabcas,Left
153,AliciaGarcia_Av,Right
154,AngelesMarra,Right
155,MariloNarvaez,Left
156,cromeroher,Left
157,MarionaID,Left
158,lidiaguinart,Left
159,NestorRego,Left
160,Milamarcos,Left
161,jmespejosaav,Left
162,jacallejascano,Left
163,JonInarritu,Right
164,SimancasRafael,Right
165,Patri_Blanquer,Right
166,anadebande,Right
167,Hernanzsofia,Left
168,ElviraRamon,Right
169,rubenmansolivar,Right
170,JAngelVillalon,Right
171,miqueljerez,Right
172,Juanb0462,Left
173,joanbaldovi,Right
174,pedro_casares,Right
175,carmenandres_,Left
176,marrodanmaria,Left
177,susana_ros,Left
178,AntonGomezReino,Left
179,lcsahuquillo,Left
180,MargaProhens,Right
181,montimar66,Left
182,InesGranollers,Left
183,valentingarciag,Left
184,Ferran_Bel,Left
185,miriamnoguerasM,Right
186,JFrSerrano,Right
187,BeatrizCorredor,Left
188,montesinospablo,Right
189,astro_duque,Left
190,anapastorjulian,Right
191,cayetanaAT,Right
192,Isabel_Franco_,Right
193,Eselkaos,Right
194,GloriaElizo,Right
195,J_Sanchez_Serna,Left
196,indasalinas,Right
197,EnriqueSantiago,Right
198,anaprietonieto,Left
199,beajimenez2023,Right
200,odonelorza2011,Left
201,rchamode,Right
202,malenanevado,Right
203,dvserrada,Right
204,Maritxu30,Right
205,luzseijo,Left
206,lauraberja86,Left
207,DiegoGagoB,Right
208,Quin1954,Right
209,estherpcamarero,Left
210,fjosealcaraz,Right
211,mcastellonPP,Right
212,soniafetesoro,Left
213,Santi_ABASCAL,Right
214,mvalerio_gu,Left
215,MariscalZabala,Right
216,fuensantalima,Left
217,rosaromerocr,Left
218,AlejandroSolerM,Left
219,EdurneUriarte,Left
220,felipe_sicilia,Left
221,eloysuarezl,Right
222,BelenHoyo,Right
223,Antonia_Jover_,Left
224,LuisStamaria,Right
225,pepelosadaf,Right
226,nasholop,Left
227,TeoGarciaEgea,Right
228,AndresLorite,Left
229,JCDuran_,Left
230,javizqui,Left
231,MercePerea,Left
232,Jaumeasens,Left
233,Elenamanez,Left
234,EstherPadillaR,Left
