,names,lr
0,KuldipSahota51,Left
1,LordPendry,Left
2,DXW_KC,Right
3,TheLadyWilcox,Left
4,SonnyLeong53,Left
5,Odysseus_Trust,Left
6,JeanCorston,Left
7,LNevilleRolfe,Right
8,SusanBaroness,Right
9,MorrisofBolton,Right
10,Baroness_Verma,Right
11,aroberts_andrew,Right
12,JoyceAnelay,Right
13,AndrewDLansley,Right
14,jrwallace54,Left
15,DLawrenceOBE,Left
16,BaronessUddin,Left
17,nazir_lord,Left
18,BnsJaneCampbell,Left
19,PTylerLords,Left
20,Dafydd_Wigley,Left
21,LizBarkerLords,Left
22,simon_haskel,Left
23,BishopPaulW,Right
24,IanDuncanHMG,Right
25,RichardFaulkne8,Right
26,dobbs_michael,Right
27,ToryPeers,Right
28,BaronessChalker,Right
29,LordKirkhope,Right
30,DavidGHFrost,Right
31,BishGloucester,Right
32,LPNorthover,Left
33,BatesMichaelW,Left
34,lorddeben,Left
35,AnneCMcIntosh,Left
36,lordshrewsbury,Left
37,LordNortonLouth,Right
38,CottrellStephen,Right
39,kateparminter,Left
40,BaronessRos,Left
41,LorelyBurt,Left
42,AJKirkwood1,Left
43,HayteratLords,Left
44,MichaelBerkele2,Left
45,davegoddardsk2,Left
46,LordMcConnell,Left
47,TheLordYoung,Left
48,RichardNewby3,Left
49,JeremyBeecham,Left
50,MikeWhitbyuk,Left
51,jbonham_carter,Left
52,aliciakennedy07,Left
53,Lord_Collins,Left
54,AlfDubs,Left
55,HodgsonFiona,Right
56,BeverleyHughes1,Right
57,Andrew_Adonis,Right
58,WhitchurchGirl,Right
59,LordNazirAhmed,Right
60,FightBach,Left
61,AlderdiceLord,Left
62,LabourLordsUK,Left
63,VictimsComm,Left
64,SarahLudford,Left
65,EricAvebury,Left
66,garyportercbe,Right
67,BaronessGale,Left
68,arminkahelic,Right
69,GlenysThornton,Left
70,lordparry,Left
71,LordJohnMann,Left
72,ElisThomasD,Left
73,PalmerMonroe,Left
74,PScotlandCSG,Left
75,LadyBasildon,Left
76,Baronessjenkin,Right
77,BaronessEB,Right
78,LabourRoyall,Left
79,johnbirdswords,Left
80,SteveTheQuip,Left
81,clivehollick,Left
82,ValerieAmos,Left
83,ladylilo2,Right
84,delythjmorgan,Left
85,SayeedaWarsi,Left
86,1SVN,Right
87,GavinBarwell,Right
88,Byron_Davies,Right
89,jollyjudith,Right
90,HelenNewlove,Right
91,lordnickbourne,Right
92,dputt2000,Right
93,ProfRWinston,Left
94,GlenysKinnock,Left
95,KathPinnock,Left
96,LordRennard,Left
97,LolaHornsey,Right
98,JDBakewell,Left
99,Tariqbt1,Left
100,LordTobySays,Left
101,jamesosh,Right
102,sheehanshas,Left
103,dianabarran,Left
104,SharonBowlesUK,Left
105,lordsoftheblog,Left
106,LordNewby,Left
107,WilliamJHague,Left
108,MaeveSherlock,Left
109,BaronessGoudie,Left
110,mjgerman,Left
111,LordLucasCD,Right
112,IainMcNicol,Right
113,TheDon_Foster,Left
114,HowardDLeigh,Right
115,tariqahmadbt,Right
116,mcashmanCBE,Left
117,malcolmbruce,Left
118,paddyashdown,Left
119,jennyranderson,Left
120,meralhece,Left
121,MichelleMone,Left
122,FloellaBenjamin,Left
123,Dannythefink,Right
124,sidnye4,Left
125,youngb48,Left
126,Paulscriven,Left
127,mattwridley,Left
128,LordBradley,Left
129,JimBethell,Right
130,Steven_Croft,Right
131,NickyMorgan01,Left
132,OfficialALW,Left
133,tinastowell,Right
134,OllyGrender,Left
135,JohnSentamu,Left
136,lordtev,Left
137,lorddrayson,Right
138,rosaltmann,Right
139,Marthalanefox,Left
140,ZacGoldsmith,Right
141,SusanKramer,Left
142,LordJimKnight,Left
143,sebcoe,Left
144,LordCourtown,Left
145,GreenJennyJones,Left
146,johnmaxton,Left
147,rights4all,Left
148,nickbaines,Left
149,GeorgeFoulkes,Left
150,SalBrinton,Left
151,natalieben,Left
152,ricallan,Right
153,lfeatherstone,Left
154,brianpaddick,Left
155,PeterHain,Right
156,CharlotteV,Right
157,LordPeterHendy,Right
158,AlbaParty,Right
159,Conservatives,Right
160,UKLabour,Right
161,theSNP,Right
162,LibDems,Right
