,names,lr
0,RonaldKlain,Left
1,rep_jackson,Left
2,RepSantosNY03,Right
3,RepGregLandsman,Right
4,RepDuarteCA13,Right
5,RepKamlagerDove,Left
6,RepValHoyle,Left
7,RepMarkAlford,Right
8,RepKeithSelf,Right
9,RepSalinas,Left
10,RepEmiliaSykes,Left
11,ValerieFoushee,Left
12,RepEricSorensen,Right
13,RepJeffJackson,Left
14,RepLangworthy,Left
15,RepMillsPress,Right
16,RepJillTokuda,Left
17,RepMcCormick,Right
18,RepMaxMiller,Right
19,RepKiley,Right
20,RepLuna,Right
21,RepGlennIvey,Left
22,RepGabeVasquez,Left
23,RepDanGoldman,Left
24,RepPettersen,Left
25,RepJasmine,Left
26,RepScholten,Left
27,RepDeluzio,Left
28,RepEliCrane,Right
29,RepDesposito,Right
30,CongressmanKean,Right
31,RepEricBurlison,Right
32,RepJenKiggans,Right
33,RepAaronBean,Right
34,RepRussellFry,Right
35,RepNikkiB,Left
36,RepNateMoran,Right
37,RepOgles,Right
38,RepRobertGarcia,Right
39,RepEzell,Right
40,RepWilliams,Right
41,RepWPH,Right
42,RepEdwards,Right
43,RepMikeCollins,Right
44,RepVanOrden,Right
45,RepWileyNickel,Left
46,RepMonicaDLC,Right
47,RepMikeLawler,Right
48,RepLaLota,Right
49,RepLCD,Right
50,RepHageman,Right
51,Rep_Peltola,Left
52,RepCasar,Left
53,CongresswomanSC,Left
54,RepMikeCarey,Left
55,RepShontelBrown,Left
56,RepJuliaLetlow,Left
57,RepEllzey,Right
58,Rep_Clyde,Right
59,RepTroyCarter,Right
60,RepDeborahRoss,Left
61,RepTroyNehls,Left
62,RepMrvan,Left
63,RepMondaire,Right
64,RepLaTurner,Right
65,RepMann,Right
66,RepMMM,Right
67,RepBentz,Right
68,RepHarshbarger,Right
69,RepBobGood,Right
70,RepNikema,Right
71,RepTeresaLF,Left
72,RepFeenstra,Right
73,RepSaraJacobs,Left
74,RepSpartz,Right
75,RepRosendale,Right
76,RepMalliotakis,Right
77,RepYoungKim,Right
78,RepBurgessOwens,Right
79,RepBowman,Left
80,RepFischbach,Right
81,RepMTG,Right
82,RepGarbarino,Right
83,RepKatCammack,Right
84,RepBice,Right
85,RepLisaMcClain,Right
