,screen_name
0,CidaMulheres
1,mcarvalhovini
2,nisia_trindade
3,Andredepaula55
4,CamiloSantanaCE
5,waldezoficial
6,asilveiramg
7,GuajajaraSonia
8,DanielaCarneiro
9,silviolual
10,DepJuscelino
11,simonetebetbr
12,CarlosLupiPDT
13,Haddad_Fernando
14,edweck_rj
15,RenanFilho_
16,lucianasantos
17,luizmarinhopt
18,Carloshbfavaro
19,wdiaspi
20,MarinaSilva
21,MagaAfroPop
22,aniellefranco
23,MarcioMacedoPT
24,anabmoser
25,geraldoalckmin
26,costa_rui
27,padilhando
28,marciofrancasp
29,FlavioDino
30,pauloteixeira13
31,Pimenta13Br
32,jaimebagattoli
33,senadorgiordano
34,augustabritoce
35,JaymeSenador
36,senadorchico
37,SF_Moro
38,ZequinhaMarinho
39,PlinioValerio45
40,LucasBarreto_AP
41,DamaresAlves
42,GeneralMourao
43,cleitinhotmj
44,ContaratoSenado
45,SenStyvenson
46,zenaidern
47,FlavioArns
48,EduGiraoOficial
49,Sen_Oriovisto
50,leiladovolei
51,angelocoronel_
52,rodrigopacheco
53,_AlessandroSE
54,drhiran_
55,SorayaThronicke
56,davialcolumbre
57,OmarAzizSenador
58,ottoalencar
59,MagnoMalta
60,margabuzetti
61,renancalheiros
62,carlosfportinho
63,BetoFaroPT
64,soudaniellapb
65,TerezaCrisMS
66,irajasenador
67,wildermorais
68,SenadorKajuru
69,esperidiaoamin_
70,EduardoBraga_AM
71,Vanderlan_VC
72,jorgeseifjunior
73,SenadorRogerio
74,laerciosergipe
75,MarceloCastroPI
76,meciasdejesus
77,elizianegama
78,EduardoGomesTO
79,teresaleitao_
80,marciombittar
81,astro_pontes
82,senadorpetecao
83,wevertonrocha
84,randolfeap
85,IzalciLucas
86,profdorinha
87,senadorhumberto
88,carlosaviana
89,sen_wellington
90,ciro_nogueira
91,Alan_Rick
92,jaqueswagner
93,confuciomoura
94,jader_barbalho
95,Heinzeoficial
96,venezianovital
97,marcosdoval
98,nelsinhotrad
99,rogeriosmarinho
100,senadorcidgomes
101,RomarioOnze
102,FlavioBolsonaro
103,paulopaim
104,RodrigoCunhaAL
105,maragabrilli
106,efraimfilho
107,MDB_Nacional
108,ptbrasil
109,PSDBoficial
110,Progressistas11
111,PDT_Nacional
112,uniaobrasil44
113,ptb14
114,liberal_party
115,PSBNacional40
116,pcdob_oficial
117,PSD_55
118,psol50
119,prtboficial
120,prosnacional
121,StainsackNilson
122,GelsonAzevedoRJ
123,DepChrisostomo
124,depfernandor
125,carladicksonrn
126,ulduricojr
127,jaziel_dr
128,drluizovando
129,depvermelho
130,albuquerque_aj
131,DepLeoMoraes
132,JrNegromonte
133,Vilsondafetaemg
134,depmanuelmarcos
135,profalcids
136,FederalFelicio
137,TadeuAlencarPE
138,terezanelmaal
139,OttaciRR
140,Luciano_Bivar
141,nelsonbarbudo
142,herciliodiniz
143,Marcelobrumdep
144,CharlesFederal
145,raimundocostaba
146,cel_armando
147,depbilacpinto
148,ToniettoChris
149,tedcontioficial
150,zevitor_mg
151,cezinhamadurei1
152,silviacristinax
153,depnicoletti
154,depPedroLucasF
155,PedroABezerra
156,mauro_bfilho
157,benesleocadiorn
158,DelegadoFreitas
159,deputadoharoldo
160,DFDanielFreitas
161,IdilvanAlencar
162,JuniorManoDep
163,soumara15
164,Vandamilani1
165,AlineSleutjes
166,DrFredericoMG
167,betopereirams
168,davidbrsoares
169,DelegadoFurtado
170,JoeniaWapichana
171,leomotta_ofc
172,emanuelzinhomt
173,dep_joserocha
174,ArthurLira_
175,DerriteSP
176,MarcosA_Sampaio
177,capalbertoneto
178,marxbeltrao
179,LTrutis
180,LemosFederal
181,pastorgil_
182,depmarrecafilho
183,CelioMouraTO
184,pinheirinhomg
185,freianastaciopt
186,gilson__marques
187,DraManato
188,jesussergioac
189,charllesevg
190,aferreira2222
191,FaleiroAirton
192,majorfabiana46
193,BocaAbertaOf
194,professorjoziel
195,adrianodobaldy
196,odaircunhamg
197,BiaCavassa
198,EuclydesPetter
199,deppimentel
200,KatiaSastre
201,fabioabreuofc
202,DelegadoPablo_
203,GoettenJorge
204,tabataamaralsp
205,ChrisTonietto17
206,paulambelmonte
207,LourivalGomesrj
208,_GutembergReis
209,jqcassol
210,nereucrispim
211,alesilva_38
212,oficialigortimo
213,Fausto_Pinato
214,Zambelli2210
215,depluizantonio
216,Oficialluizlima
217,adriventurasp
218,josimarPL22
219,lucasvgonzalez
220,rigoni_felipe
221,ValdevanNoventa
222,depaguinaldo11
223,cabojunioamaral
224,danielPMERJ
225,CoronelTadeu
226,JulianLemosopb1
227,NivaldoAlbuque
228,AlexisFonteyne
229,deputadoelmar
230,vavamartinspa
231,GeneralGirao
232,deppauloramos
233,jonesmourarj
234,filippellireal
235,capitaoaugusto_
236,SouEduardo33
237,angelaamin11
238,FabioSchiochet
239,lpbragancabr
240,carmen_zanotto
241,depalexsantana
242,danilocabralpe
243,DMiguellombardi
244,CarolDeToni
245,deputadocajado
246,Drdamiaof
247,zeaugustonalin
248,depsorayasantos
249,luciomosquini
250,SinvalMalheiros
251,bibonunes1
252,BrazaoChiquinho
253,Priante15
254,DepAndreFufuca
255,Czmadureira
256,DrLeonardomt
257,DepVitorLippi
258,CleberVerde10
259,LizianeBayer
260,carlosveraspt
261,depjosenelto
262,deputadoCelio
263,paulo_psd
264,DepSanderson
265,leandredaideal
266,netto_expedito
267,LucasVergilioGO
268,ChristianeYared
269,csilveira4599
270,depjoaodanielpt
271,NiltoTatto
272,LuizianneLinsPT
273,aluisiomendesma
274,passarinho5555
275,EderMauroPA
276,newton1510
277,depjorgesolla
278,depheliolopes
279,Bivar1717
280,AdolfoViana_
281,fmonteiroPE
282,prof_rosaneide
283,GenPeternelli
284,davidmirandario
285,ronaldocarletto
286,marciolabre
287,DepValmir
288,DepFederalMoses
289,joaodanielPT
290,MauroNazifRasul
291,maldaner_celso
292,deputadoatila
293,ZeMarioGO
294,FaustoPinato
295,marcossoaresdep
296,GilbertoPSC20
297,carlosgomesdep
298,herculanopassos
299,KimKataguiri
300,AlvinoMarcio
301,LedaSadala
302,RobertoAlves_10
303,zecarlospt
304,DepEneiasReis
305,amaronetotv
306,Dep_LeoMoraes
307,AndreJanonesAdv
308,roman_evandro
309,DepRosanaValle
310,tiriricanaweb
311,blogdasheridan
312,PSDBricardo45
313,SebaOliveirajr
314,rosemodestoms
315,CelioStudart
316,FabioMitidieri_
317,AfonsoFlorence
318,PauloBengtson
319,zeguilherme_10
320,DepEdilazioJr
321,mariarosassp
322,lexandreleite
323,aureacarolinax
324,JulioCesarRib
325,RenataAbreu1919
326,Carlos_Gaguim
327,TiaEron
328,DEPZESILVA
329,AdolfoViana1
330,OttoAlencarFilh
331,HeitorSchuch
332,amaronetoreal
333,Biakicis
334,abou_anni
335,GiovaniFeltes
336,MajorVitorHugo
337,OtoniDepFederal
338,OLIVALMARQUES
339,_sergiosouza
