,screen_name
0,CanadianPM
1,drsdelliscc
2,rechievaldez
3,reneliberal
4,drbrendanhanley
5,NathalieSincla3
6,Shelby_Kramp
7,IqwinderSGaheer
8,JeanDenisGaron1
9,Joanne_NL
10,LenaMetlegeDiab
11,Tony_Baldinelli
12,GeraldSorokaMP
13,MarcusPowlowski
14,kyleseeback
15,mikekelloway
16,LouiseChabotBQ
17,ClaudeDBF_bq
18,KodyBloisNS
19,AnnieKoutrakis
20,JaimeBattiste
21,PatrickBWeiler
22,SameerZuberi
23,Leah_Taylor_Roy
24,MSidhuLiberal
25,LucDesiletsBQ
26,TurnbullWhitby
27,MHGaudreauBQ
28,JeremyPatzerMP
29,AlexRuff17
30,ScotDavidsonMP
31,JulieVignolaBL
32,GregMcLeanYYC
33,LisaMarieBarron
34,ChrisLewisEssex
35,DaveEppCKL
36,PLawrenceMP
37,BradRedekopp
38,richardmartelpc
39,ChahalGeorge
40,DougShipleyBSOM
41,RobertsAnna281
42,Lianne_Rood
43,PatriciaLattan3
44,DesjarlaisBlake
45,MarilynGladuSL
46,BobBenzen
47,DLeBlancNB
48,GlenMotz
49,Joelgodinpjc
50,rosemarie_falk
51,ziad_aboultaif
52,m_pauze
53,PeterFonsecaMP
54,ATherrienBQ
55,RachaelThomasMP
56,FilomenaTassi
57,TerryDowdall
58,sergecormierlib
59,GillMarilene
60,marwantabbaramp
61,ArnoldViersen
62,TerrySheehanMP
63,Gabriel_SMarie
64,GinettePT
65,KevinWaugh_CPC
66,F_ElKhoury
67,KellyMcCauleyMP
68,McDonald4Avalon
69,MMcLeodNWT
70,MBJDepute
71,BillBlair
72,SoniaLiberal
73,stephanelauzon5
74,DiLebouthillier
75,GenereuxBernard
76,MartinBowRiver
77,RaquelDancho
78,yvesperronbq
79,ToddDohertyMP
80,JenOConnell_
81,ShannonStubbsMP
82,YRobillardPLC
83,Shaun_Chen
84,HonAhmedHussen
85,adhillonDLL
86,CQualtro
87,jyduclos
88,MorrisseyEgmont
89,trudel_denis
90,darrellsamson
91,TracyGrayKLC
92,BardishKW
93,TimLouisKitCon
94,Daniel_Blaikie
95,JonathanWNV
96,PatKelly_MP
97,krimichaudbq
98,JeanYip3
99,KayabagaArielle
100,HonEdFast
101,ChristineNorm
102,JennaSudds
103,SalmaZahid15
104,YaaraSaks
105,AryaCanada
106,jimcarr_wpg
107,Webber4Confed
108,RonLiepert
109,pablorodriguez
110,MajidJowhari
111,MPTedFalk
112,MichaelChongMP
113,Laurel_BC
114,Cooper4SAE
115,GaryAVidal
116,beynate
117,JulieDzerowicz
118,gary_srp
119,AliEhsassi
120,MarcMillerVM
121,EmmanuelDubourg
122,BenLobbMP
123,StephanieKusie
124,JenicaAtwin
125,FP_Champagne
126,LarryMaguireMP
127,AHousefather
128,cathayw
129,handongontario
130,JudySgroMP
131,DavidLametti
132,adamchamb
