,screen_name
0,petrogustavo
1,FranciaMarquezM
2,alfonsoprada
3,AlvaroLeyva
4,JoseA_Ocampo
5,osunanestor
6,Ivan_Velasquez_
7,carolinacorcho
8,gloriainesramir
9,IreneVelezT
10,GermanUmanaM
11,AuroraVergaraF1
12,susanamuhamad
13,CATALINAVELASCO
14,SandramUrrutia
15,CeDemocratico
16,PCambioRadical
17,PoloDemocratico
18,ColJustaLibres
19,ColombiaHumana_
20,dignidad_col
21,NvLiberalismo
22,UP_Colombia
23,notipaco
24,MovSalNac
25,LigaGobernantes
26,fzciudadana
27,LaFuerzaDLaPaz
28,NuevaFuerzaDemc
29,verdeoxigeno_co
30,PartidoLiberal
31,soyconservador
32,PartidoVerdeCoL
33,SenadorBitervo
34,senadoreduardop
35,epalaciosenado
36,JohnMiltonR_
37,SandraComunes
38,JGalloComunes
39,CatatumbComunes
40,SandinoVictoria
41,MauricioSenado2
42,EsperanzaSenado
43,senadoramyriamp
44,nadiablel
45,Samy_senador
46,Juandiegogj
47,LaureanoAcuDiaz
48,MIgueBarretoC
49,SenadorTrujillo
50,noragarciab
51,davidbarguil
52,unnortejoven
53,EfrainCepeda
54,laurafortichsan
55,MarioCasPe
56,fabioaminsaleme
57,IvanAgudeloZ
58,MiguelPintoH1
59,AndresCristoB
60,JulianBedoyaL17
61,MauricioGomezCO
62,GGarciaRealpe
63,jaimeduranbar
64,Lidiosenado
65,velascoluisf
66,rovillalba
67,HoracioJSerpa
68,FelicianoValen
69,AnaPaolaAgudelo
70,aydeelizarazoc
71,carlos_guevara
72,AlbertoCastSal
73,JERobledo
74,wilsonariasc
75,AlexLopezMaya
76,IvanCepedaCast
77,AmandaRocioG
78,carlosmeiselv
79,nperezvasquez
80,PaolaSenadora
81,CIROARAMIREZ
82,AlejoCorralesE
83,jhsuarezv
84,MariaFdaCabal
85,millaromerosoto
86,gabrieljvelasco
87,CARLOSFMEJIA
88,charoguerra
89,honohenriquez
90,JOSEOBDULIO
91,PaolaHolguin
92,PalomaValenciaL
93,ernestomaciast
94,FNAraujoR
95,Rubychagui
96,sanvalgo
97,UtlJohn
98,eduardopulgard
99,AGarciaZuccardi
100,miguel_amin
101,RoosveltRodri
102,JoseAlfreGnecco
103,BernerZambrano
104,JFLemosU
105,RitterLopez
106,GermanHoyos
107,JoseDavidName
108,kroarbelaez
109,agmethescaf
110,AlejoGarciaRios
111,alexbermudezla
112,ahmonedero
113,AlexGuarinS
114,armandozabarain
115,AlirioUribeMuoz
116,AlfreMondragon
117,alvarolrueda
118,anapaolagarciau
119,AnaMonsalveA
120,AndresCalleA
121,AForeroM
122,FelipeAntioquia
123,andres_montes_
124,amvergarag
125,anibalhoyosf
126,betsyperez_1
127,CARLOSARDILA10
128,SergioComunes
129,carlosfelipeq
130,Wayunkerra
131,CaroGiraBo
132,cathyjuvinao
133,ChriGarces
134,CRISTOBALCAIC10
135,danielrestrepoc
136,DavidRacero
137,AlejoToroAnt
138,delcyisaza
139,elkinospinao
140,eravelasco
141,tamaraargote
142,florita_perdomo
143,GabrielParradoD
144,gerardoyepes_
145,gerselperez
146,GloArizabaleta
147,HaiverRinconRC
148,holmesedr20
149,hugoarchila2022
150,DaniloPimiento
151,irmalherrera
152,JaimeRaulSt
153,javiersikuani
154,JhonFrediValenc
155,jorgecercharf
156,alejoocampog
157,jorgerodrigotv
158,jcardonaleon
159,joaltejada
160,jjuscategui
161,juanmcortesd
162,camilolondono13
163,juanchowills
164,julianlopezte
165,juliana_aray
166,JRobertoSalazar
167,GallegoArroyave
168,linamariagarri1
169,AlbanComunes
170,lochoatobon
171,luisdavid1510
172,MirandaBogota
173,MafeCarrascal
174,MiguelPoloP
175,OlgaBGonzalezC
176,orlandocasti
177,OscarVillamiz
178,sandraaristis
179,HRSandraRamirez
180,willianaljure
181,Wcarrillo101
182,ingwilmerc
183,niltoncordoba1
184,marthavillalbah
185,SaraPiedrahitaL
186,Juan_Ca_Rivera
187,CJBONILLASOTO
188,BettyZorro
189,GermanBlancoA
190,HernanGarzonRep
191,ALVAROHPRADA
192,PizarroMariaJo
193,HarryGonzalez
194,chacon_camargo
195,JohnBermudezG
196,GNavasTalero
197,16oscarsanchez
198,JorgeGomezG_
199,bventuraleon
200,jjUscategui
201,MargaritaRepo
202,deluque
203,intiasprilla
204,angelamrobledo
