,screen_name
0,EmmanuelMacron
1,Elisabeth_Borne
2,olivierveran
3,franckriester
4,RomeIsabelle
5,CharlotteCaubel
6,HerveBerville
7,MarleneSchiappa
8,BrunoLeMaire
9,RolandLescure
10,jnbarrot
11,oliviagregoire
12,GDarmanin
13,FaureDominique
14,SoniaBackes
15,MinColonna
16,becht_olivier
17,LaurenceBoone
18,CZacharopoulou
19,E_DupondM
20,SebLecornu
21,sarahelhairy
22,MIRALLESMP
23,olivierdussopt
24,CGrandjean_
25,PapNdiaye
26,sretailleau
27,MFesneau
28,ChristopheBechu
29,CBeaune
30,OlivierKlein93
31,BCouillard33
32,AgnesRunacher
33,RimaAbdulMalak
34,FrcsBraun
35,agnesfirmin
36,JCCOMBE
37,gdarrieussecq
38,StanGuerini
39,AOC1978
40,Renaissance
41,lesRepublicains
42,RNational_off
43,partisocialiste
44,FranceInsoumise
45,AllizardPascal
46,JCAnglars
47,Arnaud_jm
48,JeremyBacchi
49,JPBansard
50,brunobelin
51,nbellurot
52,GuyBenarroche
53,MartineBerthet
54,AnnickBillon
55,blanc_etienne
56,jbblanc84
57,FlorenceBlatrix
58,F_Bonhomme
59,FBonneauSenat
60,bonnefoy_n
61,MichelBonnus
62,AlexndraBorchio
63,DBouad
64,BouchetGilbert
65,YvesBouloux
66,husseinbourgi
67,valerieboyer13
68,IsabelleBrique2
69,Celine_Brulin
70,fnb_officiel
71,bernard_buis
72,senateurcabanel
73,AlainCadec
74,OlivierCadic
75,ACanayer
76,michelcanevet
77,Cardon_Remi
78,MACarlotti
79,ACazabonne
80,scazebonne
81,P_Chaize
82,YanChantrel
83,DanielChasseing
84,Th_Cozic
85,mathdarnaud
86,n_delattre
87,BernardDelcros
88,demas_patricia
89,DEVESA3
90,tomdoss
91,DrexlerSabine
92,FrDumont83
93,Jeromedurain
94,NicoleDuranton
95,Dominiq_Estrosi
96,CorinneFeret
97,BernardFialaire
98,philippefolliot
99,C_Frassa
100,FrancoiseGatel
101,GilleHerve
102,SGoyChavent
103,JeanPierreGrand
104,PascaleGruny02
105,nadegehavet
106,loichervepublic
107,alainhoupert
108,imbertcorinne17
109,JacquemetAnnick
110,micheline_jacqu
111,ejeansannetas
112,ElseJOSEPH
113,GiseleJourda
114,AJoyandet
115,claude_kern
116,SoniadlpCaen
117,LahellecG
118,flolassarade
119,Domdelegge
120,LeHouerouA
121,slerudulier
122,PALevisenat
123,ac_loisier
124,jf_longeot
125,DidierMandelli
126,moniquedemarco
127,Didier_Marie76
128,Pasc_Martin
129,HMaurey
130,p_medevielle
131,MerillouSerge
132,bmicouleau
133,FranckMontauge
134,C_MorinDesailly
135,Mouiller_P
136,noel_sylviane
137,GaginPaoli
138,GeorgesPatient
139,f_patriat
140,CyrilPellevat
141,cperrin90
142,AnnickPetrus
143,MLPhineraHorth
144,sebastienpla
145,remypointereau
146,PoncetRaymonde
147,E_Poumirol
148,Stephane_Ravier
149,ClaudeRaynal
150,C_REDON_SARRAZY
151,BrunoRetailleau
152,MpRicher
153,OlivierRietmann
154,Sy_robert
155,RohfritschTeva
156,rouxjy
157,Senateur_Salmon
158,SautarelS
159,ElsaSchalck
160,PSchillinger68
161,Laurent_Somon
162,stanzionelucien
163,PhilippeTabarot
164,mickaelvallet
165,MVaraillas
166,AnneVentalon
167,verienparent
168,pjverzelen
169,cedricvial
170,Melanie_Vogel_
171,delphinebatho
172,ericcoquerel
173,sandrousseau
174,BorisVallaud
175,AbadieCaroline
176,LoicKervran18
177,FabriceBrun
