,screen_name
0,DrRothfuss
1,ChristinaStumpp
2,KreiserMdB
3,ReneBochmannMdB
4,GerschauKnut
5,f_boginski
6,GlaserMdb
7,Knut_Abraham
8,SchaetzlJo
9,andreaslarem
10,CRaffelhueschen
11,HueppeMdB
12,GerritHuy
13,BartzAlexander
14,HERavensburg
15,anja_troff
16,FBsirske
17,HenningOtteMdB
18,TakisMehmetAli
19,goerke_c
20,laura_kraft_
21,TinaWinklmann
22,AnjaReinalter
23,JoachimWundrak
24,ElisabethWinke4
25,ZandaMartens
26,ingoschaeferspd
27,avjurisch
28,BHerrmann_
29,ArianeFaescher
30,CarstenKoerber
31,SimonaMdB
32,emilyvontz1
33,MarkusReichelDD
34,joergnurnberger
35,HierlSusanne
36,JensPeick
37,katrinuhligbn
38,HenningRehbaum
39,BreherSilvia
40,EnglhardtKopf
41,NHeselhaus
42,BernhardDaldrup
43,Hannes_Gnauck
44,cjcronenberg
45,MdbMuller
46,JanUlrichDieren
47,BengtBergt
48,NAltenkamp
49,ArmandZorn
50,AloisRainer
51,stefan_seidler
52,m_schieder
53,VMayer_Lay
54,schahinag
55,AnkeHennigSPD
56,RainerSemet
57,arlt_johannes
58,jessi_rosenthal
59,DeborahDuering
60,zoe_gruene
61,HarzerUlrike
62,SLahrkamp
63,S_Gruetzmacher
64,ReemAlabali
65,CarlosKasperMdB
66,ArminSchwarz
67,BettinaLugk
68,VriesChristoph
69,Hoffmann_MdB
70,thorsten_frei
71,MdBMonstadt
72,AnnaLuehrmann
73,Kthrn_Mchl_SPD
74,derya_tn
75,kassem_ts
76,GuntherKrichba3
77,gadechens
78,StegemannAlbert
79,gitta_connemann
80,ruetzelbernd
81,TR_Bremen
82,FechnerJohannes
83,Mike_Moncsek
84,SusanneFerschl
85,DirkUlrichMende
86,HanSteinmueller
87,SwantjeMichael1
88,CarmenWegge
89,HoffmannForest
90,HalakMuhanad
91,AntjeTillmann
92,BerndWestphal4
93,ClaudiaMollMdB
94,AnneSpallek
95,nicole_ae_bauer
96,_FriedrichMerz
97,_ThomasRachel
98,moritz_oppelt
99,wiebkeesdar1
100,n_roettgen
101,MareikeWulf
102,AwetTesfaiesus
103,JanPlobner
104,jessica_tatti
105,DaniLudwigMdB
106,MarjaVoellers
107,mseesternpauly
108,WolfgangWiehle
109,RenataAlt_MdB
110,HerbrandMarkus
111,Chr_Sauter
112,MdBKlein
113,ali_aldailami
114,NicoleWestig
115,ulrichlechte
116,ManuelaRottman
117,theliberalfrank
118,bhoffmann_mdb
119,GeroHocker
120,JoernKoenigAfD
121,J_Pahlke
122,DjirSarai
123,KatjaKeul
124,emiliafester
