,screen_name
0,PMOIndia
1,rajnathsingh
2,AmitShah
3,nitin_gadkari
4,nsitharaman
5,nstomar
6,DrSJaishankar
7,MundaArjun
8,smritiirani
9,PiyushGoyal
10,dpradhanbjp
11,JoshiPralhad
12,sarbanandsonwal
13,Drvirendrakum13
14,girirajsinghbjp
15,JM_Scindia
16,AshwiniVaishnaw
17,PashupatiParas
18,gssjodhpur
19,KirenRijiju
20,RajKSinghIndia
21,HardeepSPuri
22,mansukhmandviya
23,byadavbjp
24,DrMNPandeyMP
25,PRupala
26,kishanreddybjp
27,ianuragthakur
28,Rao_InderjitS
29,DrJitendraSingh
30,shripadynaik
31,fskulaste
32,prahladspatel
33,AshwiniKChoubey
34,arjunrammeghwal
35,Gen_VKSingh
36,KPGBJP
37,raosahebdanve
38,RamdasAthawale
39,SadhviNiranjan
40,drsanjeevbalyan
41,nityanandraibjp
42,mppchaudhary
43,AnupriyaSPatel
44,DarshanaJardosh
45,VMBJP
46,M_Lekhi
47,SomParkashBJP
48,renukasinghbjp
49,Rameswar_Teli
50,KailashBaytu
51,Annapurna4BJP
52,mp_kaushal
53,devusinh
54,Drsubhassarkar
55,DrBhagwatKarad
56,AamAadmiParty
57,INCIndia
58,BSP4India
59,BJP4India
60,cpimspeak
61,nppmeghalaya
62,arivalayam
63,AITCofficial
64,YSRCParty
65,ShivSenaUBT_
66,Jduonline
67,bjd_odisha
68,BRSparty
69,NCPspeaks
70,iumlofficial
71,JKNC_
72,samajwadiparty
73,JaiTDP
74,aimim_national
75,ApnaDalOfficial
76,cpofindia
77,Akali_Dal_
78,ajsupartyjh
79,AIADMKOfficial
80,AIUDFOfficial
81,JanataDal_S
82,JmmJharkhand
83,MNFParty
84,NDPPofficial
85,RLPINDIAorg
86,SAD_Amritsar
87,KrantiSikkim
88,VCKofficial_
89,agpofficial_
90,ThePMKOfficial
91,AbdulWahabPV
92,AnilagrwalMPBJP
93,AgrawalRMD
94,FaiyazAhmadRJD
95,GulamAliKhatana
96,AARamireddy
97,narhari_amin
98,AnavadiyaDinesh
99,Birendrabaishya
100,LKBajpaiBJP
101,SumitraBJPMP
102,anil_baluni
103,bjpnareshbansal
104,ramilabara
105,DrBMRao
106,Chh_Udayanraje
107,AjitKrBhuyan
108,NiranjanBishi6
109,DoctorAnilBonde
110,BrijLal_IPS
111,JohnBrittas
112,RaghavChadhaOfc
113,SubhasishMP
114,priyankac19
115,MPVandanaChavan
116,ChhetriMp
117,PChidambaram_IN
118,NeerajDangiINC
119,bjpbiplaboffice
120,DeoSulata
121,ianildesai
122,SushmitaDevAITC
123,H_D_Devegowda
124,HardwarDubey
125,satishdubeyy
126,SeemaDwivediMP
127,nrelango_dmk
128,geetashakyaUP
129,Rajendra_Gehlot
130,Giriraj11885141
131,shaktisinhgohil
132,InduGoswamiBJP
133,AAPNDGupta
134,DrSushilKrGupta
135,LHanumanthaiah
136,nadimulhaque10
137,harivansh1956
138,HeggadeD
139,DeependerSHooda
140,NasirHussainINC
141,ilaiyaraaja
142,Jaggesh2
143,aniljaindr
144,rcjangrabjp
145,PrakashJavdekar
146,JethmalaniM
147,manojkjhadu
148,Irannakadadi_MP
149,kalita_mp
150,SKDMKTJ
151,KanakamedalaRK
152,kanta_kardam
153,ElamaramKareem_
154,KumarKetkar
155,DrFauziaKhanNCP
156,javedaleekhan
157,KhanMuzibulla
158,kharge
159,SPhangnon
160,R_Krishnaiah
161,DrSikanderkrbjp
162,SujeetKOfficial
163,drlaxmanbjp
164,MaharajaManipur
165,dbmahadik
166,maji_mahua
167,manasrmangaraj
168,JoseKMani_KCM
169,officeofdrsm
170,PmargheritaBJP
171,DrKirodilalBJP
172,SushilModi
173,MamataMohanta5
174,Murugan_MoS
175,JPNadda
176,surendrasnaagar
177,narzary_rwngwra
178,mpparimal
179,brnishadbjp
180,MausamNoor
181,derekobrienmp
182,SameerOraon16
183,SarojPandeyBJP
184,KrishanLPanwar
185,praful_patel
186,RajmaniPatelINC
187,shambhusharanp1
188,SandeepPathak04
189,KavitaPatidar_
190,Amar4Odisha
191,sasmitpatra
192,PawarSpeaks
193,OfficeDp
194,dprakashbjp
195,adishanks
196,VVPrasadWrites
197,ShayarImran
198,AARahimdyfi
199,sakaldeprajbhar
200,krnrajeshkumar
201,ramshakal2
202,draramadoss
203,CMRamesh_MP
204,Jairam_Ramesh
205,MeNarayanRane
206,Ranjeet4India
207,GVLNRAO
208,rautsanjay61
209,Sukhendusekhar
210,RebiaNabam
211,krsureshreddy
212,SNRTeam
213,VSReddy_MP
214,vikramsahney
215,dpsahuINC
216,drkalpanasaini
217,SelvaMPPY
218,anthiyrselvaraj
219,SantanuSenMP
220,Dolasen7
221,CVShanmugamofl
222,MPNeerajShekhar
223,ShuklaRajiv
224,KapilSibal
225,PManmohansingh
226,mpajaypratap
227,akhileshPdsingh
228,ArunSinghbjp
229,BashisthaNarain
230,digvijaya_28
231,harbhajan_singh
232,SanjayAzadSln
233,SantSeechewal
234,DarshanaSingh76
235,DrAMSinghvi
236,RakeshSinha01
237,jawharsircar
238,LaharSingh_MP
239,tiruchisiva
240,dr_vsivadasan
241,DrSumerSolanki1
242,DrKanimozhiSomu
243,kailashsoninsp
244,Officeof_SS
245,ShibuSorenJMM
246,rssurjewala
247,VTankha
248,KamakhyaTasa
249,TendulkarBJP
250,_vivekthakur
251,drmthambidurai
252,gtiwariindia
253,pramodtiwari700
254,SudhanshuTrived
255,MPKTSTulsi
256,PTUshaOfficial
257,vaddirajumprs
258,VanlalvenaK
259,GK__Vasan
260,LtGnDPVats
261,VPR_Official_
262,kcvenugopalmp
263,blvermaup
264,BinoyViswam1
265,MukulWasnik
266,PWilsonDMK
267,proframgopalya1
268,MPLingaiahYadav
269,harnathsinghmp
270,sangeetayadavup
271,AmeeYajnik
272,nsitharamanoffc
273,narendramodi
274,dmk_raja
275,Bhavana_Gawali
276,bpsarojmp
277,chintaanuradha
278,ch_dharambir
279,Rameshbind_mp
280,drharshvardhan
281,dreamgirlhema
282,JPBhaiBJP
283,KDanishAli
284,pcsarangi
285,princerajpaswan
286,gopaljeebjp
287,shewale_rahul
288,imtiaz_jaleel
289,sunilkrpintu
290,DrRamShankarMP
291,DrChellakumar
292,ganeshamurthi
293,AkpChinraj
294,MPAbdulKhaleque
295,mpsamadani
296,abhishekaitc
297,AbuTahekhan
298,achyuta_samanta
299,adala_reddy
300,adhirrcinc
301,AdoorPrakash
302,AfzalAnsariMP
303,AjaybhattBJP4UK
304,AjayMandalMPbgp
305,NishadSri
306,AjayTamtaBJP
307,dralokksuman
308,AmarSinghTweets
309,kolhe_amol
310,AnantkumarH
311,bjpanilfirojiya
312,antoantonyinc
313,AnubhavMohanty_
314,revanth_anumula
315,anuragshaarma
316,AprajitaSarangi
317,AparupaPoddar
318,ArjunsinghWB
319,arunksagarbjp
320,ArunSao3
321,Arvindharmapuri
322,GanpatArvind
323,asadowaisi
324,ashokkrawat
325,ashokyadavmp
326,AshokNeteMP
327,atulsinghji
328,BYRBJP
329,BNBachegowda_MP
330,BadruddinAjmal
331,MahantBalaknath
332,basantpandabjp
333,BennyBehananMP
334,bhagwantkhuba
335,bpsvermabjp
336,BharatYSRCP
337,DrBharatippawar
338,BhartruhariM
339,MPBBPATIL
340,MpDrBholaSingh
341,mpbidyutmahato
342,Bishweswar_Tudu
343,b_bhushansharan
344,BrijendraSpeaks
345,CLalrosangaMP
346,PatilOffice
347,annadurai_tn
348,ChandanSinghMP
349,CPChoudharyAJSU
350,SekharBellana
351,MPCSSahu
352,chandrani_murmu
353,CSDarbar
354,chhedi_paswan
355,iChiragPaswan
356,Chunni_lal_sahu
357,WriterRavikumar
358,Dayakar_TRS
359,Dayanidhi_Maran
360,DeanKuriakose
361,DebasreeBJP
362,idevadhikari
363,DeepakBaijINC
364,DVSadanandGowda
365,DevendrappaBJP
366,devjimpatel
367,mpdhairyasheel
368,DrBisenBJP
369,Tenkasi_MP
370,Dharmen39971599
371,DileshwarKamai1
372,DilipGhoshBJP
373,dimpleyadav
374,dineshchandraya
375,nirahua1
376,Dipsinh_Rathod
377,KumariDiya
378,DKSureshINC
379,DulalChandraGo3
380,DushyantDholpur
381,ET_MohdBasheer
382,AbudllahFarooq
383,varungandhi80
384,DrRanjithReddy
385,GajananKirtikar
386,gajendra4bjp
387,GaneshSingh_in
388,GSBasavaraj3
389,GauravGogoiAsm
390,GautamGambhir
391,Geetakora1
392,GSLodhiBJP
393,GiridhariYadav_
394,GirishProtean
395,GeetabenRathwa
396,MadhaviGoddeti
397,Gomati_sai
398,Guharam_MP
399,DamoreGuman
400,GurjeetSAujla
401,GyaneshwarBJP
402,HajiFazlurMP
403,hanumanbeniwal
404,HarishD_BJP
405,HarsimratBadal_
406,masoodi_hasnain
407,DrHeena_Gavit
408,Hemant_patil_
409,mphemantgodse
410,HibiEden
411,Himadri4Bjp
412,horensingbey
413,IndraHangSubba1
414,mp_jagannath
415,pal_jagdambika
416,drjaisiddeshwar
417,jtnladakh
418,Janardan_BJP
419,SIGRIWALBJP
420,JasbirGillKSMP
421,JaskaurBJP
422,jayadevgalla
423,jayantsinha
424,JayantaRoyJPG
425,johnbarlabjp
426,jualoram
427,mpjugalkishore
428,JyotirmayBJP
429,kcpatelbjpguj
430,KM_KPCC
431,kshanmugamdmk
432,SUBBARAYANK3
433,KBanerjee_AITC
434,kamleshpassi67
435,Kanakmalbjp
436,KNavaskani
437,KanimozhiDMK
438,KapilPatil_
439,KartiPC
440,MpNalanda
441,drskavita
442,TrsKavitha
443,khagen_murmu
444,khalilurMP
445,KhanSaumitra
446,RamMNK
447,Kiridaren
448,KirronKherBJP
449,KVSinghMPGonda
450,KishanKapoorBJP
451,kvnsreddy
452,sridharKotagiri
453,KPRTRS
454,MallahKripanath
455,DrKPSinghYadav
456,KrupalTumaneofc
457,KuldeepRSharma
458,SudhakaranINC
459,hembram_kunar
460,kuruva_madhavgm
461,Tejasvi_Surya
462,LalluSinghBJP
463,Lalubhai0007
464,me_locket
465,LorhoDr
466,mkraghavaninc
467,mkvishnuprasad
468,GuruMYSRCP
469,magunta_msr
470,MahabaliShera
471,MahendraForBJP
472,Mahesh5700
473,dr_maheshsharma
474,MahuaMoitra
475,MalaRajyaShah
476,MalaRoyAITC
477,malook_nagar
478,Manekagandhibjp
479,MangalSAngadi
480,manickamtagore
481,ManishTewari
482,manjulatamandal
483,RajoriaMPOffice
484,mansukhbhai_mos
485,mehboob_kaiser
486,MidhunReddyFans
487,mimichakraborty
488,mAkbar_Lone
489,iamsadiq
490,mohanmandaviBJP
491,mukeshrajput_mp
492,NKPremachandran
493,Naba_Kr_Sarania
494,NakulKNath
495,nalinkateel
496,MPnama
497,NandigamSuresh7
498,mpamreli
499,ANarayana_swamy
500,Narisworld
501,navneetravirana
502,NayabINC
503,nishikant_dubey
504,NisithPramanik
505,NiteshDeb
506,nusratchirps
507,ombirlakota
508,PCMohanMP
509,OPRavindhranath
510,MpVelusamy
511,PRNATRAJAN
512,pallablochandas
513,p_sahibsingh
514,pnsinghdhanbad
515,OfPinaki
516,poonam_mahajan
517,PoonambenMaadam
518,prabhunvasava
519,PradanBaruah
520,PkSinghMP
521,pradyutbordoloi
522,SadhviPragya_MP
523,iPrajwalRevanna
524,MPAska_official
525,MP_AITMC
526,mpprataprao
527,MPPratapPatil
528,mepratap
529,ipratibhasingh
530,PratimaBhoumik
531,PratimaMondal15
532,preneet_kaur
533,kunwarpschandel
534,oja_queen
535,rksinghpatel
536,RadhamohanBJP
537,RahulKaswanMP
538,Rajkumarsingh1i
539,mprajaanaik
540,rajanvichare
541,MPJagatsinghpur
542,mRajbahadurBJP
543,drrajdeeproy
544,MP_Meerut
545,MPRajeshVerma
546,rajeshchudasma
547,RajivPratapRudy
548,LalanSingh_1
549,Rajkumarchahar9
550,RajmohanUnithan
551,RajuBistaBJP
552,RajveersinghUP
553,RajveerDilerUP
554,RajyavardhanCm
555,MPRakeshSingh
556,ramkripalmp
557,ramadevi_lanka
558,RamakantOnline
559,DrRamapati
560,RamcharanBohra
561,rameshbidhuri
562,RCKaushikBJP
563,rameshmajhinp
564,RP_NishankFan
565,RameshDhadukMP
566,RampritMandal5
567,MPRamulu17
568,RamyaHaridasMP
569,RanjanRajkuma11
570,RanjeetaKoliMP
571,kataria4ambala
572,rsprasad
573,RkushwahaBjp
574,RavneetBittu
575,RebatiTripura
576,reddeppa_MP
577,RitaBJoshi
578,mpriteshpandey
579,RitiPathakSidhi
580,NagarRodmal
581,GnanathiraviamS
582,Jagathofficial
583,bjp_muniswamy
584,SRamalingamMp
585,SVENKATESAN83
586,ProBaghel
587,SR_Parthiban
588,SSAhluwaliaMP
589,SSP_MANICKAM
590,Dr_STHASAN_MBD
591,DilipSaikia4Bjp
592,MpSajdaahmed
593,drsakshimaharaj
594,RayShandhya
595,Sangeetaazadmp
596,sksingh_deo
597,bjpsanjaybhatia
598,sanjayjaiswalMP
599,bandisanjay_bjp
600,SanjayMandlik99
601,MpSanjayseth
602,SanjayDhotreMP
603,PatilSanjaykaka
604,SanjeevSingari
605,SantoshKumarBRS
606,santoshgangwar
607,santoshpandey44
608,saptagiriulaka
609,SarmisthaSethi
610,dr_satyapal
611,sdPachauri1
612,iShankarLalwani
613,Shantanu_bjp
614,ShardabenPatel
615,ShashiTharoor
616,ShatruganSinha
617,shivkumarudasi
618,ShobhaBJP
619,DrSEShinde
620,MPShrirangBarne
621,SSYadavMP
622,SimranjitSADA
623,SoniaGandhi_FC
624,SoyamBapuRaoOfc
625,SriKrishnaLavu
626,KesineniBhavan
627,MpManne
628,ThiruArasarINC
629,baheriasc
630,SubratPathak12
631,SbhagatBJP
632,mpsshrangare
633,GuptaSudheer
634,SudipBAITC
635,DrSukantaBJP
636,officeofssbadal
637,JaunapuriaSS
638,sumalathaA
639,MPSumedhanand
640,_BabuSunil
641,PV_Sunil_Kumar
642,skm62official
643,SunilSingh_BJP
644,sunilsoren_mp
645,SunitaDuggal7
646,iamsunnydeol
647,supriya_sule
648,kodikunnilMP
649,MlcSuresh
650,sureshgopalpuja
651,SushilSinghMP
652,tnprathapan
653,TalariRangaiah
654,TapirGao
655,thirumaofficial
656,TChazhikadan
657,TIRATHSRAWAT
658,TokhehoYepthomi
659,ToponKumarGogo1
660,udaypratapmp
661,UmeshJadhav_BJP
662,UnmeshPatilBjp
663,UpendraSRawat
664,Ve_Vaithilingam
665,IVeenaDevi
666,DrKalanidhiV
667,drbvsatyavathi
668,BVenkateshNetha
669,vijaybaghelcg
670,Vijay_B_Kumar
671,Vijaydubeybjp
672,HansdakVijay
673,officeofPCM
674,iamvijayvasanth
675,vincentpala
676,VinodChavdaBJP
677,vinodsbjpup
678,VirendraSharma
679,virendramastmp
680,vishnumppalamu
681,ShejwalkarVivek
682,ysavinashreddy
