,screen_name
0,adan_augusto
1,m_ebrard
2,R_Ramirez_O
3,rosaicela_
4,tatclouthier
5,A_MontielR
6,Mary_Luisa_AG
7,rocionahle
8,vmva1950
9,TorrucoTurismo
10,MeyerFalcon
11,JScherer_Ibarra
12,AccionNacional
13,PRI_Nacional
14,PRDMexico
15,PT_EdoMex
16,partidoverdemex
17,MovCiudadanoMX
18,lopezobrador_
19,GobiernoMX
20,AndresPintosnl
21,TereOchoaM_
22,banquells_dip_
23,MariaAsencionAl
24,amaliagarciamx
25,Horaciofdzc
26,LetyChavez_D14
27,arturoboni
28,marioarguezc
29,MaElenaLimon_
30,MirzaFloresG
31,IrisayRodriguez
32,ElviaYolandaMC
33,RodrigoSamC
34,gerardogaudiano
35,AgustinBasave
36,ManuelHerreraV
37,AlvarezMaynez
38,MauroGarzaMarin
39,jesi_ortega
40,Chertorivski
41,IvonneOP
42,SalvadorCaro
43,ChecoBarrera
44,JulietaMejia
45,AysaDamasCM
46,DipGracielaSO
47,Brianda_Vzq
48,DanielMurguiaL1
49,Duran1Felix
50,CarlosLGMX
51,NoemiSalazarLXV
52,AgsRobertoVa
53,MorenaM2022
54,VeroColladoMx
55,Dip_ClauTello
56,PedroOrtegaFon
57,CarlosNoriegaR
58,dip_murguia
59,Catalinadiazvil
60,Dip_OlgaChavezR
61,MarthaDip
62,DiputadaOliviaE
63,NabetseArellano
64,JudithTanoriC
65,antolin_GroMarq
66,MaresCossio
67,Karladz95
68,AlfredoPorrasMx
69,fernando_da1
70,MartinSandovalS
71,BrendaRamiroAl
72,jaime_martinezl
73,OtonielGarcia4T
74,OlegariaCarraz3
75,KlausRitter
76,MtraSandraNav
77,Evangelina_MoG
78,sergio_penaloz
79,GabrielaCajeme
80,OdetteAlmazan8
81,BereMartinezD
82,blancanarromx
83,DMigueldelaCruz
84,marthaazucena23
85,AnaAyala_4T
86,Martha_MR2021
87,YesseniaOlua
88,Rosario_Reyes_S
89,AdelaRamosJ
90,IsmaelBritoM
91,RocioBarreraPuc
92,OscarGtzCamacho
93,NachoMierV
94,DipBernardoRios
95,DulceM_SilvaH
96,BennellyHernan2
97,angelandariego1
98,bruno_blancas
99,terrazas_prieto
100,corinavillegasg
101,ManuelBaldeneb4
102,claudia_hdzs
103,hamlet_almaguer
104,SusanaCanoG
105,Maite_VargasM
106,JuanPabloSanchR
107,ArmandoContCast
108,JuanitaGuerra_M
109,SanchezBarriosC
110,dipmarthabaraja
111,ArturoHdezTapia
112,CasimiroZamoraV
113,DipMartha
114,carmenbautistaz
115,RaquelBonillaHe
116,PaolaTenorioA
117,IsabelAlfaroIV
118,JaimeHumbertoPB
119,NellyCarrascoIV
120,CelesteAscenci8
121,RosalbaVCruz
122,adrianalozanomx
123,HirepanMaya
124,IranSantiagoM
125,BillyChapmanMX
126,GustavContreras
127,TaniaCruz_D11
128,GpeChaviraMX
129,_BrendaEspinoza
130,JanicieContrera
131,JuanBautis31
132,KarlaAlmazan_B
133,MiguelPradod
134,SalmaLuevano
135,MaribelAguilerC
136,Auguscarlos40
137,AnahiGonzalezQR
138,___mariotorres
139,acarvajalh
140,JorgeAngelSibaj
141,amairanipe25
142,manacochiapas
143,YadiraMarcosSin
144,EmmanuelReyesC
145,Vicente_Onofre_
146,irmajuancarlos
147,JulietaRamirezP
148,adams_zulema
149,RosalindaDF2015
150,florivonemm
151,VanConstruyendo
152,armando_cabada
153,araceli_ocampo_
154,BetyRojas06
155,Omarel44
156,DanielGOaxaca
157,olegariacm
158,ElorzaFlo
159,Sergeluna_S
160,lorenamendezd
161,AlmaNavarrete9
