,screen_name
0,PSOE
1,ppopular
2,vox_es
3,PODEMOS
4,CiudadanosCs
5,MasPais_Es
6,Equo
7,Esquerra_ERC
8,JuntsXCat
9,eajpnv
10,ehbildu
11,cupnacional
12,compromis
13,coalicion
14,obloque
15,navarra_suma
16,prcantabria
17,TeruelExiste_
18,pilar_llop
19,jmalbares
20,joseluisescriva
21,jose_minones
22,LuisPlanas
23,Yolanda_Diaz_
24,NadiaCalvino
25,Teresaribera
26,Pilar_Alegria
27,raquelsjimenez
28,IreneMontero
29,DianaMorantR
30,ionebelarra
31,mjmonteroc
32,subirats9
33,isabelrguez
34,miqueliceta
35,sanchezcastejon
36,Hectorgomezh
37,agarzon
38,MercedesJaraVOX
39,AlbertoAsarta
40,GarciaAdanero
41,MackMontesinos
42,CrisEstebanVox
43,erodriguez_2019
44,MariaRamallov
45,pcalvoliste
46,olgaalonso62
47,LlanosdeLuna
48,edelvallerod
49,MaraLuisaVilch1
50,georgina_vox
51,EvaBravoBarco
52,AgustinRosety
53,joseramirezdel2
54,CuatrecasasJuan
55,JIEchaniz
56,Macarena_Olona
57,Ismael_CortesG
58,JoseMariaMazon
59,LourdesMendezMo
60,PalomaGazquez
61,teresajbecerril
62,javierbasco
63,BalEdmundo
64,JosLuisRamosRo2
65,vicentetiradopp
66,PatriciadlHeras
67,MCMartinez_Cs
68,A_LopezMaraver
69,Marina_Ortega_
70,MarotoReyes
71,JavierCerqueir4
72,carmencalvo_
73,LuisGestoso
74,luisacarcedo
75,alfonsocendon
76,jlsteeg_doc
77,MarisaSaavedraM
78,conJoseMFranco
79,inibaran
80,GuillermoLugosi
81,Hector_Illueca_
82,Graciacanales3
83,SalazarRoPaco
84,MarioGarcesSan
85,vicpiriz1975
86,borrego_corte
87,TFernandezRios
88,PabloAranguena
89,CelsoDelgadoOU
90,TxemaGuijarro
91,meritxell_batet
92,vejer_ortiz
93,J_Zaragoza_
94,sancho_herminio
95,afernb
96,CarolinaEspanaR
97,ElenaCastilloPP
98,Jccampm
99,MeerRocio
100,yolandaalcaldes
101,CarmenGGuinda
102,DioufLuc
103,AnaBotellaPSOE
104,MikelLegarda
105,CnLacoba
106,apabellas
107,SofCastanon
108,MartaGlezVzqz
109,Migonzalezcaba
110,Alber_Canarias
111,PilarGarrido_
112,RuizSolas
113,rafi_crespin
114,VickyRosell
115,MartinaVelardeG
116,AriagonaGP
117,juan_pedreno
118,imoblanca
119,HispanPablo
120,mdelaoredondo
121,tamarayar
122,rromerovilches
123,eledhmel
124,G_Pisarello
125,RoberUriarte
126,albertbotran
127,margpuig
128,gabrielrufian
129,Igarrigavaz
130,conceptermens
